"ensembl","symbol","entrez"
"ENSRNOG00000042502",NA,NA
"ENSRNOG00000042777","Zfp28","102548693"
"ENSRNOG00000015322",NA,NA
"ENSRNOG00000051384",NA,NA
"ENSRNOG00000034184","Zfp583","499068"
"ENSRNOG00000033906","Zfp667","308326"
"ENSRNOG00000015517","Zfp444","292569"
"ENSRNOG00000015456","Zfp787","365176"
"ENSRNOG00000032913",NA,NA
"ENSRNOG00000015753","Epn1","117277"
"ENSRNOG00000015914","U2af2","308335"
"ENSRNOG00000015997",NA,NA
"ENSRNOG00000016274","Zfp580","308336"
"ENSRNOG00000016279","Zfp865","308337"
"ENSRNOG00000028628","Ccdc106","499071"
"ENSRNOG00000016565","Zfp524","365179"
"ENSRNOG00000016574","Fiz1","292584"
"ENSRNOG00000016608","Zfp579","308339"
"ENSRNOG00000016687","Ssc5d","308341"
"ENSRNOG00000042414",NA,NA
"ENSRNOG00000038622","Zfp628","100359484"
"ENSRNOG00000050348","Isoc2a","684270"
"ENSRNOG00000016829","Isoc2b","361501"
"ENSRNOG00000016877","Shisa7","691429"
"ENSRNOG00000016930","Ube2s","292588"
"ENSRNOG00000017127","Rpl28","64638"
"ENSRNOG00000017306",NA,NA
"ENSRNOG00000017386","Il11","171040"
"ENSRNOG00000038616",NA,NA
"ENSRNOG00000017508","Kmt5c","308345"
"ENSRNOG00000017673","Brsk1","499073"
"ENSRNOG00000017795","Hspbp1","246146"
"ENSRNOG00000018090","Ppp6r1","361502"
"ENSRNOG00000038607",NA,NA
"ENSRNOG00000058906","Ptprh","171125"
"ENSRNOG00000018217","Syt5","54309"
"ENSRNOG00000038600","Dnaaf3","100359753"
"ENSRNOG00000053828","Ppp1r12c","499076"
"ENSRNOG00000027919","Rdh13","361504"
"ENSRNOG00000018616",NA,NA
"ENSRNOG00000018621",NA,NA
"ENSRNOG00000018642","Leng8","361506"
"ENSRNOG00000032699","Ttyh1","292597"
"ENSRNOG00000048095",NA,NA
"ENSRNOG00000047206",NA,NA
"ENSRNOG00000014186","Zswim9","308381"
"ENSRNOG00000014193","Lig1","81513"
"ENSRNOG00000054447",NA,NA
"ENSRNOG00000048028",NA,NA
"ENSRNOG00000022227",NA,NA
"ENSRNOG00000013548",NA,NA
"ENSRNOG00000033146","Rps19l3","100360843"
"ENSRNOG00000051483","Selenow","25545"
"ENSRNOG00000028449",NA,NA
"ENSRNOG00000013023","Nop53","292624"
"ENSRNOG00000011346","Ehd2","361512"
"ENSRNOG00000011262","Bicra","292622"
"ENSRNOG00000021800","Zfp541","308108"
"ENSRNOG00000001494","Napa","140673"
"ENSRNOG00000001493",NA,NA
"ENSRNOG00000001492","Slc8a2","140447"
"ENSRNOG00000021390","Meis3","361514"
"ENSRNOG00000047575","Dhx34","684903"
"ENSRNOG00000049661",NA,NA
"ENSRNOG00000048848","Ccdc9","684934"
"ENSRNOG00000015128","Sae1","308384"
"ENSRNOG00000015229","Zc3h4","678741"
"ENSRNOG00000015304",NA,NA
"ENSRNOG00000015376","Npas1","308387"
"ENSRNOG00000015852","Arhgap35","306400"
"ENSRNOG00000015865","Ap2s1","65046"
"ENSRNOG00000015948","Slc1a5","292657"
"ENSRNOG00000016055","Fkrp","308390"
"ENSRNOG00000016145","Strn4","308392"
"ENSRNOG00000016434","Prkd2","292658"
"ENSRNOG00000052256","Dact3","499088"
"ENSRNOG00000016701","Gng8","245986"
"ENSRNOG00000016770","Calm3","24244"
"ENSRNOG00000016863","Pnma8b","308393"
"ENSRNOG00000027944",NA,NA
"ENSRNOG00000027936","Ccdc8","494320"
"ENSRNOG00000016907","Ppp5c","65179"
"ENSRNOG00000017198","Hif3a","64345"
"ENSRNOG00000026891",NA,NA
"ENSRNOG00000057645","Micb","365212"
"ENSRNOG00000013767","Ccdc61","292680"
"ENSRNOG00000013847","Nova2","292681"
"ENSRNOG00000014132",NA,NA
"ENSRNOG00000014252","Irf2bp1","308404"
"ENSRNOG00000014353","Sympk","292683"
"ENSRNOG00000061526","Rsph6a","292684"
"ENSRNOG00000014984","Dmwd","680252"
"ENSRNOG00000015085","Dmpk","308405"
"ENSRNOG00000060146","Six5","308406"
"ENSRNOG00000008815","Fbxo46","292686"
"ENSRNOG00000015413","Qpctl","292687"
"ENSRNOG00000015844","Snrpd2","680309"
"ENSRNOG00000015860","Gipr","25024"
"ENSRNOG00000030127","Eml2","192360"
"ENSRNOG00000016362","Gpr4","308408"
"ENSRNOG00000025890","Opa3","308409"
"ENSRNOG00000016367","Vasp","361517"
"ENSRNOG00000016603","Rtn2","308410"
"ENSRNOG00000046667","Fosb","100360880"
"ENSRNOG00000017839","Ercc1","292673"
"ENSRNOG00000016825","Polr1g","680493"
"ENSRNOG00000025350","Ppp1r13l","686781"
"ENSRNOG00000017753","Ercc2","308415"
"ENSRNOG00000018101","Klc3","171549"
"ENSRNOG00000017069","Mark4","680407"
"ENSRNOG00000060041",NA,NA
"ENSRNOG00000017448","Exoc3l2","686809"
"ENSRNOG00000017463","Bloc1s3","680476"
"ENSRNOG00000017468","Trappc6a","680465"
"ENSRNOG00000043378","Nkpd1","680440"
"ENSRNOG00000017692","Ppp1r37","308398"
"ENSRNOG00000049772","Gemin7","499391"
"ENSRNOG00000046000","Clasrp","499390"
"ENSRNOG00000033235","Relb","100360982"
"ENSRNOG00000018255","Clptm1","292696"
"ENSRNOG00000018454","Apoe","25728"
"ENSRNOG00000018556","Tomm40","308416"
"ENSRNOG00000018730","Nectin2","308417"
"ENSRNOG00000029399","Bcam","78958"
"ENSRNOG00000019202","Pvr","25066"
"ENSRNOG00000029336","Zfp180","246279"
"ENSRNOG00000029022","Zfp112","308420"
"ENSRNOG00000032625","Zfp108","102548503"
"ENSRNOG00000054609",NA,NA
"ENSRNOG00000024376","Zfp111","170849"
"ENSRNOG00000019416","Zfp61","499094"
"ENSRNOG00000055608","Zfp94l1","102548695"
"ENSRNOG00000019432","Lypd5","502308"
"ENSRNOG00000019596","Smg9","365215"
"ENSRNOG00000024243","Cadm4","365216"
"ENSRNOG00000019802","Zfp428","361519"
"ENSRNOG00000046500",NA,NA
"ENSRNOG00000019915","Xrcc1","84495"
"ENSRNOG00000024065","Zfp575","308430"
"ENSRNOG00000019982","Ethe1","292710"
"ENSRNOG00000019999","Lypd3","60378"
"ENSRNOG00000037897","Rps19","29287"
"ENSRNOG00000020130","Arhgef1","60323"
"ENSRNOG00000020233","Rabac1","83583"
"ENSRNOG00000020263","Atp1a3","24213"
"ENSRNOG00000020310","Grik5","24407"
"ENSRNOG00000055761","Zfp574","308434"
"ENSRNOG00000055650","Pou2f2","117058"
"ENSRNOG00000046112",NA,NA
"ENSRNOG00000047526","Zfp526","687127"
"ENSRNOG00000020417","Gsk3a","50686"
"ENSRNOG00000020426","Erf","292721"
"ENSRNOG00000056118","Cic","308435"
"ENSRNOG00000020481","Pafah1b3","114113"
"ENSRNOG00000043154","Prr19","681408"
"ENSRNOG00000020489","Tmem145","292722"
"ENSRNOG00000052687","Megf8","114029"
"ENSRNOG00000020546","Lipe","25330"
"ENSRNOG00000020596","Dmac2","361520"
"ENSRNOG00000020607","Bckdha","25244"
"ENSRNOG00000020635","Exosc5","308441"
"ENSRNOG00000021302",NA,NA
"ENSRNOG00000028753","B9d2","308443"
"ENSRNOG00000020652","Tgfb1","59086"
"ENSRNOG00000020675","Ccdc97","292724"
"ENSRNOG00000020683","Hnrnpul1","361522"
"ENSRNOG00000020716","Axl","308444"
"ENSRNOG00000020743","Cyp2s1","308445"
"ENSRNOG00000050758","Epc2l1","499105"
"ENSRNOG00000055096",NA,NA
"ENSRNOG00000020947","Egln2","308457"
"ENSRNOG00000001500","Rab4b","50866"
"ENSRNOG00000001501","Snrpa","292729"
"ENSRNOG00000037715","Actmap","499106"
"ENSRNOG00000013945","Itpkc","308451"
"ENSRNOG00000020848","Coq8b","308453"
"ENSRNOG00000020867","Numbl","292732"
"ENSRNOG00000020871","Ltbp4","292734"
"ENSRNOG00000020882","Shkbp1","292735"
"ENSRNOG00000055371","Sptbn4","308458"
"ENSRNOG00000024410","Blvrb","292737"
"ENSRNOG00000037690","Sertad3","499108"
"ENSRNOG00000024363","Sertad1","361526"
"ENSRNOG00000018369","Prx","78960"
"ENSRNOG00000018390","Pld3","361527"
"ENSRNOG00000018408","C1h19orf47","292739"
"ENSRNOG00000018677","Akt2","25233"
"ENSRNOG00000018850","Ttc9b","361528"
"ENSRNOG00000023521","Map3k10","308463"
"ENSRNOG00000046338",NA,NA
"ENSRNOG00000037673",NA,NA
"ENSRNOG00000018885","LOC134478825","134478825"
"ENSRNOG00000050995","Zfp780b","102554136"
"ENSRNOG00000029805","LOC134483039","134483039"
"ENSRNOG00000018928","LOC102553760","102553760"
"ENSRNOG00000048489",NA,NA
"ENSRNOG00000054614",NA,NA
"ENSRNOG00000018936","Zfp780b-ps1","100360638"
"ENSRNOG00000053366","Zfp59","685610"
"ENSRNOG00000060634",NA,NA
"ENSRNOG00000018994","Psmc4","117262"
"ENSRNOG00000019129","Fcgbp","100303643"
"ENSRNOG00000019229","Fbl","292747"
"ENSRNOG00000019254","Dyrk1b","308468"
"ENSRNOG00000019883","Pak4","292756"
"ENSRNOG00000019869","Lrfn1","365222"
"ENSRNOG00000019838","Gmfg","113940"
"ENSRNOG00000019831",NA,NA
"ENSRNOG00000019746","Paf1","361531"
"ENSRNOG00000019702",NA,NA
"ENSRNOG00000058388","Zfp36","79426"
"ENSRNOG00000030266","Plekhg2","292750"
"ENSRNOG00000019578","Rps16","140655"
"ENSRNOG00000062225",NA,NA
"ENSRNOG00000032034","Supt5h","308472"
"ENSRNOG00000037638","Timm50","687295"
"ENSRNOG00000019338","Dll3","114125"
"ENSRNOG00000045545",NA,NA
"ENSRNOG00000019310",NA,NA
"ENSRNOG00000050453","Fbxo27","499114"
"ENSRNOG00000019942","Fbxo17","292757"
"ENSRNOG00000019949","Mrps12","292758"
"ENSRNOG00000019962","Sars2","292759"
"ENSRNOG00000046971",NA,NA
"ENSRNOG00000020063","Nfkbib","81525"
"ENSRNOG00000020102","Sirt2","361532"
"ENSRNOG00000020235",NA,NA
"ENSRNOG00000020308","Ech1","64526"
"ENSRNOG00000020389","Capn12","308476"
"ENSRNOG00000020433","Actn4","63836"
"ENSRNOG00000020598",NA,NA
"ENSRNOG00000020616",NA,NA
"ENSRNOG00000020636","Spint2","292770"
"ENSRNOG00000020676","Ppp1r14a","114004"
"ENSRNOG00000020687","Dpf1","50545"
"ENSRNOG00000020703","Sipa1l3","292771"
"ENSRNOG00000055519","Zfp84","308482"
"ENSRNOG00000029043","Zfp84","308482"
"ENSRNOG00000051494",NA,NA
"ENSRNOG00000048116",NA,NA
"ENSRNOG00000020774","Zfp420","103690163"
"ENSRNOG00000046937",NA,NA
"ENSRNOG00000020495","Eif3k","292762"
"ENSRNOG00000020505","Map4k1","292763"
"ENSRNOG00000020557","Ryr1","114207"
"ENSRNOG00000024036","Fam98c","292764"
"ENSRNOG00000051915","Spred3","308478"
"ENSRNOG00000023931","Ggn","292765"
"ENSRNOG00000037580","Psmd8","292766"
"ENSRNOG00000060693","Kcnk6","116491"
"ENSRNOG00000055286","Yif1b","292768"
"ENSRNOG00000046305",NA,NA
"ENSRNOG00000048894",NA,NA
"ENSRNOG00000055119",NA,NA
"ENSRNOG00000030932","Zfp14","499124"
"ENSRNOG00000052023","Zfp82","100910231"
"ENSRNOG00000048138","Zfp566","502316"
"ENSRNOG00000046867",NA,NA
"ENSRNOG00000020762","Zfp260","53982"
"ENSRNOG00000056062","Zfp790l2","100912787"
"ENSRNOG00000037556","LOC134478826","134478826"
"ENSRNOG00000047627",NA,NA
"ENSRNOG00000020777","Zfp382","246264"
"ENSRNOG00000054776",NA,NA
"ENSRNOG00000047364",NA,NA
"ENSRNOG00000048194",NA,NA
"ENSRNOG00000045655",NA,NA
"ENSRNOG00000020799","Polr2i","292778"
"ENSRNOG00000020807","Wdr62","308492"
"ENSRNOG00000020821",NA,NA
"ENSRNOG00000025216","Alkbh6","292780"
"ENSRNOG00000047045","Sdhaf1","499125"
"ENSRNOG00000020839","Lrfn3","308495"
"ENSRNOG00000020845","Tyrobp","361537"
"ENSRNOG00000025111","Nfkbid","308496"
"ENSRNOG00000020851","Aplp1","502317"
"ENSRNOG00000020873","Nphs1","64563"
"ENSRNOG00000024677","Arhgap33","100362311"
"ENSRNOG00000024625","Proser3","361541"
"ENSRNOG00000020922","Hspb6","192245"
"ENSRNOG00000020929","Lin37","292787"
"ENSRNOG00000020941","Psenen","292788"
"ENSRNOG00000024497","U2af1l4","361542"
"ENSRNOG00000020957","Igflr1","499126"
"ENSRNOG00000055525","Kmt2b","102550344"
"ENSRNOG00000024309","Cox6b1","688869"
"ENSRNOG00000024278","Rbm42","361545"
"ENSRNOG00000024266","Haus5","100362495"
"ENSRNOG00000021006","Tmem147","292792"
"ENSRNOG00000021015","Sbsn","292793"
"ENSRNOG00000055934","Dmkn","361548"
"ENSRNOG00000002340","Rpl36l2","100361079"
"ENSRNOG00000021023","Mag","29409"
"ENSRNOG00000053725","Usf2","81817"
"ENSRNOG00000021053","Lsr","64355"
"ENSRNOG00000021067","Fxyd7","63848"
"ENSRNOG00000021087","Lgi4","361549"
"ENSRNOG00000021102","Scn1b","29686"
"ENSRNOG00000021106","Gramd1a","361550"
"ENSRNOG00000028984",NA,NA
"ENSRNOG00000061315",NA,NA
"ENSRNOG00000037415",NA,NA
"ENSRNOG00000023296","Wtip","361552"
"ENSRNOG00000021113","Uba2","308508"
"ENSRNOG00000021119","Pdcd2l","689637"
"ENSRNOG00000023150","Gpi","292804"
"ENSRNOG00000021129","Garre1","308509"
"ENSRNOG00000051284",NA,NA
"ENSRNOG00000021133","Lsm14a","361554"
"ENSRNOG00000021137","Kctd15","499129"
"ENSRNOG00000022919",NA,NA
"ENSRNOG00000052945","Pepd","292808"
"ENSRNOG00000060312",NA,NA
"ENSRNOG00000020830",NA,NA
"ENSRNOG00000047943",NA,NA
"ENSRNOG00000050104","Clip3","308493"
"ENSRNOG00000049708",NA,NA
"ENSRNOG00000050560",NA,NA
"ENSRNOG00000020781","Tbcb","292777"
"ENSRNOG00000045747",NA,NA
"ENSRNOG00000050015",NA,NA
"ENSRNOG00000013250",NA,NA
"ENSRNOG00000021144","Cebpg","25301"
"ENSRNOG00000010918","Cebpa","24252"
"ENSRNOG00000010938","Slc7a10","114518"
"ENSRNOG00000011451","Lrp3","89787"
"ENSRNOG00000011584","Gpatch1","292810"
"ENSRNOG00000032232","Snrpgl1","687679"
"ENSRNOG00000011885","Rhpn2","308516"
"ENSRNOG00000022393","Faap24","502320"
"ENSRNOG00000012140","Cep89","292811"
"ENSRNOG00000037380",NA,NA
"ENSRNOG00000059386","Nudt19","308518"
"ENSRNOG00000052814","Ankrd27","361555"
"ENSRNOG00000050827",NA,NA
"ENSRNOG00000021573","Dpy19l3","308519"
"ENSRNOG00000013565","Zfp507","292816"
"ENSRNOG00000013938","Tshz3","308523"
"ENSRNOG00000040273",NA,NA
"ENSRNOG00000014163","Zfp536","292820"
"ENSRNOG00000014463","Uri1","308537"
"ENSRNOG00000014786","Ccne1","25729"
