"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070663","regulation of leukocyte proliferation","16/331","143/11041",0.111888111888112,3.73219529714998,5.78109564479114,5.74277555732471e-06,0.000465160116226176,0.000465160116226176,"Il1b/Itgal/Tyrobp/Csf1r/Cd300a/Ptprc/Rac2/Nckap1l/Gpnmb/Lgals3/Inpp5d/Tnfrsf1b/Laptm5/Csf2rb/Ptpn6/Aif1",16
"GO:0046651","lymphocyte proliferation","18/331","177/11041",0.101694915254237,3.39218597982488,5.64014791426572,5.8981718615857e-06,0.000468037284781124,0.000468037284781124,"Il1b/Itgal/Tyrobp/Csf1r/Cd300a/Shb/Ptprc/Rac2/Nckap1l/Gpnmb/Lgals3/Inpp5d/Slc11a1/Tnfrsf1b/Laptm5/Itgb2/Ptpn6/Aif1",18
"GO:0099024","plasma membrane invagination","9/331","45/11041",0.2,6.67129909365559,6.70154967661133,5.99756349544622e-06,0.00046902684958591,0.00046902684958591,"Cd300a/Fcer1g/Nckap1l/Abca1/Abca7/C3/Itgb2/Bin2/Aif1",9
"GO:0050670","regulation of lymphocyte proliferation","15/331","130/11041",0.115384615384615,3.84882640018592,5.74393057040012,7.71558895765408e-06,0.000578240527993075,0.000578240527993075,"Il1b/Itgal/Tyrobp/Csf1r/Cd300a/Ptprc/Rac2/Nckap1l/Gpnmb/Lgals3/Inpp5d/Tnfrsf1b/Laptm5/Ptpn6/Aif1",15
"GO:0048002","antigen processing and presentation of peptide antigen","7/331","26/11041",0.269230769230769,8.98059493376714,7.16198635988286,8.21912126053222e-06,0.000599329436781511,0.000599329436781511,"Ctss/Fcer1g/Clec4a3/Slc11a1/Unc93b1/RT1-N2/Lgmn",7
"GO:0048514","blood vessel morphogenesis","32/331","466/11041",0.0686695278969957,2.29057479610492,5.00425864289271,1.01935012089261e-05,0.000696254842067914,0.000696254842067914,"Il1b/Tgfbr1/Rspo3/Cited2/Anxa3/Foxo4/Cdh13/Cx3cr1/Shb/Fgfr2/Itga7/Thbs2/Lgals3/Cfh/Spi1/Hdac7/Apoe/Dll4/Ackr3/Mdk/Tlr3/C3ar1/C3/Rin2/Itgb2/Ptpn6/Gab1/Dysf/Amotl2/Nr2f2/Atp2b4/Reck",32
"GO:0003002","regionalization","22/331","259/11041",0.0849420849420849,2.83337027143674,5.24872961984991,1.06259633360407e-05,0.000707872816805872,0.000707872816805872,"Tgfbr1/C1qa/Cited2/Med12/Dmrt3/Dll3/Tll2/Smad6/Tifab/Plxna2/Acvr2b/Smarcd3/Dll4/Neurod1/Eomes/C3/Cc2d2a/Tgif1/Ror2/Dnai2/Nr2f2/Nek8",22
"GO:0010720","positive regulation of cell development","28/331","384/11041",0.0729166666666667,2.4322444612286,5.02191177653008,1.25184503033825e-05,0.000813850094422313,0.000813850094422313,"Sema4d/Il1b/Tp73/Dlk1/Tyrobp/Tlr2/Tenm4/Csf1r/Cx3cr1/Shb/Ptprc/Dll3/Plag1/Nckap1l/Rnd2/Hcls1/Tesc/Inpp5d/Spi1/Tnfrsf1b/Apoe/Smarcd3/Tiam2/Mdk/Dscam/Dusp10/Kit/Ror2",28
"GO:0001501","skeletal system development","28/331","397/11041",0.0705289672544081,2.35259917660399,4.82520464607558,2.30628260053082e-05,0.00125704049620852,0.00125704049620852,"Sema4d/Tgfbr1/Dlk1/Ccser1/Cited2/Tyrobp/Med12/Pappa2/Akap13/Six4/Ptprc/Dll3/Col2a1/Fgfr2/Dhrs3/Nfia/Nfib/Lgals3/Cfh/Tifab/Acvr2b/Cdkn1c/Fbn2/Dll4/Mdk/Col9a1/Lrrc17/Ror2",28
"GO:0010001","glial cell differentiation","21/331","258/11041",0.0813953488372093,2.71506358462727,4.90031586075686,3.20311499072977e-05,0.00158568885229154,0.00158568885229154,"Il1b/Tp73/C1qa/Cntnap2/Tlr2/Tenm4/Csf1r/Med12/Dll3/Kcnq3/Nfia/Nfib/Cfh/Tnfrsf1b/Apoe/Mdk/Dusp10/Cntn2/Eomes/Adora2a/Ror2",21
