"gene","n_path","baseMean","R1_T0","R1_T5","R1_T15","R2_T0","R2_T5","R2_T15","R3_T0","R3_T5","R3_T15","mean_0","mean_5","mean_15","L2FC_5v0","padj_5v0","L2FC_15v0","padj_15v0","L2FC_15v5","padj_15v5","pathways"
"Lrp1",2,7540,7079.5,6653.1,5785.2,6304.1,7522.4,6699.1,5947.8,12597.5,9272.2,6443.8,8924.3,7252.2,0.4,0.907,0.119,1,-0.281,1,"projGuid, axonGuid"
"Unc5c",2,521,528.3,485.5,472.6,483.7,544.8,477.5,465.9,674.9,553.8,492.6,568.4,501.3,0.195,0.907,0.019,1,-0.176,1,"projGuid, axonGuid"
"Lingo1",2,6108,5952.3,6203.1,5929.5,6044.2,6323.9,6025,5720.2,6208.3,6569,5905.6,6245.1,6174.5,0.081,0.916,0.064,1,-0.017,1,"CNSdiff, CNSdev"
"Ncam1",2,40106,41113,39444,36962,37178.3,38600.6,37500.5,39190.4,46927.8,44036.7,39160.6,41657.5,39499.7,0.083,0.919,0.007,1,-0.076,1,"projGuid, axonGuid"
"Dscam",2,1680,1748.4,1741.6,1557.9,1627,1693.3,1610.9,1549.3,1883.9,1706.6,1641.6,1773,1625.1,0.11,0.924,-0.015,1,-0.125,1,"projGuid, axonGuid"
"Epha5",2,14596,14454.6,14675.1,13761.2,13636,13771.2,13824,15155.2,16897.6,15186,14415.3,15114.6,14257,0.065,0.938,-0.016,1,-0.081,1,"projGuid, axonGuid"
"Nell2",2,31916,31942.4,32067.6,30807.7,30145.8,31894,30951.9,32352.5,34090.7,32996,31480.2,32684.1,31585.2,0.054,0.938,0.005,1,-0.049,1,"projGuid, axonGuid"
"Nectin1",2,4539,4536.3,4721.1,4234.5,4346.7,4528.3,4315.2,4611.9,4922.6,4631.4,4498.3,4724,4393.7,0.07,0.942,-0.034,1,-0.105,1,"projGuid, axonGuid"
"Ptch1",2,712,740.5,690.7,686.4,704.3,800.6,725.6,665.4,769,622.6,703.4,753.4,678.2,0.099,0.999,-0.053,1,-0.153,1,"CNSdiff, projGuid"
"Atp7a",2,822,846.3,860,816,772.4,826.1,679.4,839.8,939.9,818.3,819.5,875.3,771.2,0.095,0.999,-0.091,1,-0.186,1,"CNSdiff, CNSdev"
"Epha7",2,1558,1503.9,1628.3,1544.7,1517.6,1519.5,1466.7,1587.5,1765.6,1491,1536.3,1637.8,1500.8,0.09,0.999,-0.034,1,-0.124,1,"projGuid, axonGuid"
"Sema6a",2,1314,1339.9,1374.7,1247.3,1253.7,1370.4,1214.1,1283.6,1347.6,1394.9,1292.4,1364.2,1285.4,0.079,0.999,-0.009,1,-0.087,1,"migration, projGuid"
"Psen1",2,1998,1969.5,1972.5,1933.4,1915.1,2020.5,1955.9,2016.6,2217.1,1978.9,1967.1,2070,1956.1,0.073,0.999,-0.007,1,-0.08,1,"CNSdiff, migration"
"Tbr1",2,4885,4820.3,4838,4564.1,4900.2,4941.7,4816.8,4743.7,5297.2,5041.4,4821.4,5025.7,4807.4,0.059,0.999,-0.006,1,-0.064,1,"CNSdiff, projGuid"
"Hspg2",2,129,142.8,125.3,95,89.8,157,107.4,87.5,212.5,146.7,106.7,164.9,116.4,0.605,NA,0.105,1,-0.5,1,"projGuid, axonGuid"
"Lrp2",2,84,70.3,83.6,89.4,57.2,75.4,79.6,75.1,133,89.7,67.5,97.3,86.2,0.506,NA,0.364,1,-0.142,1,"projGuid, axonGuid"
"Epha6",2,59,52.8,86.4,56.4,40.8,51.6,60.4,55.1,60.9,62.9,49.6,66.3,59.9,0.412,NA,0.287,1,-0.125,1,"projGuid, axonGuid"
"Dlx5",2,134,109.7,158.9,132.9,123.8,152.2,134,140,128.6,126.9,124.5,146.5,131.3,0.233,NA,0.074,1,-0.159,1,"CNSdiff, projGuid"
