Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"364"	"SOX4"	"443.3"	"ARCHS4 Coexpression,47;Enrichr Queries,813;GTEx Coexpression,470"	"ROBO2,EPHA5,NRP1,FZD3,BCL11B,DCC,DLX5,CXCR4,ROBO1,ENAH,KLF7,NFIB,ZMIZ1,MAP2,NOVA2,DCX,CTNNB1,NCAM1"
"gene_set_query"	"365"	"SP4"	"443.4"	"ARCHS4 Coexpression,431;ENCODE ChIP-seq,52;Enrichr Queries,293;ReMap ChIP-seq,269;GTEx Coexpression,1172"	"EPHA4,SZT2,FZD3,BMPR2,SEMA6A,BCL11B,PTCH1,CXCR4,ANK3,CELSR3,KLF7,ZEB2,NFIB,CTNNB1,ZSWIM6,NCAM1,RAC1,SPG11"
"gene_set_query"	"366"	"MXD4"	"443.7"	"ARCHS4 Coexpression,519;Enrichr Queries,690;GTEx Coexpression,122"	"CYFIP2,SPTBN4,NRP1,RELN,LRP1,ZMIZ1,MYCBP2,CXCR4,L1CAM,MEGF8,MDGA1,CELSR3"
"gene_set_query"	"367"	"ZSCAN25"	"444.5"	"ARCHS4 Coexpression,646;GTEx Coexpression,243"	"DSCAM,NOVA2,CXCR4,NCAM1,RAC1,ATP7A"
"gene_set_query"	"368"	"CASZ1"	"445.0"	"ARCHS4 Coexpression,954;Enrichr Queries,110;GTEx Coexpression,271"	"EPHA4,LAMA5,TRIO,SEMA6A,TENM4,BCL11B,DLX5,PRKCA,ANK3,HSPG2,NELL2,ZEB2,VANGL2,ZMIZ1,NFIB,ATP7A,EPHB2,EPHB3,NECTIN1"
"gene_set_query"	"369"	"PRDM6"	"446.3"	"ARCHS4 Coexpression,698;Enrichr Queries,117;GTEx Coexpression,524"	"ROBO2,NRP1,NTRK2,EPHA7,SEMA6A,TENM4,BCL11B,UNC5C,GLI3,ENAH,NELL2,ZEB2,RELN,NFIB,SLIT1,SLIT3,SLIT2,MYH10"
"gene_set_query"	"370"	"IKZF4"	"447.7"	"ARCHS4 Coexpression,102;Enrichr Queries,149;GTEx Coexpression,1092"	"ROBO2,NRP1,EPHA4,NTRK2,FZD3,BMPR2,TENM4,BCL11B,DCC,ANK3,GLI3,NELL2,KLF7,ZEB2,NFASC,VANGL2,ZMIZ1,NFIB,MAP2,NOVA2,DCX,NCAM1,NEO1"
"gene_set_query"	"371"	"ZNF311"	"447.7"	"ARCHS4 Coexpression,364;Enrichr Queries,361;GTEx Coexpression,618"	"CYFIP2,ENAH,NRP1,TENM2,CDH4,FZD3,BCL11B,NFIB,DCX,PRKCA,SLIT2,DCLK1"
"gene_set_query"	"372"	"GTF2B"	"449.5"	"ARCHS4 Coexpression,574;ENCODE ChIP-seq,93;ReMap ChIP-seq,194;GTEx Coexpression,937"	"SPTBN4,SZT2,TRIO,BMPR2,LMO4,MYCBP2,CTNNB1,PSEN1,MEGF8,ARHGAP35"
"gene_set_query"	"373"	"ATF2"	"449.6"	"ARCHS4 Coexpression,568;ENCODE ChIP-seq,98;Enrichr Queries,501;ReMap ChIP-seq,268;GTEx Coexpression,813"	"DIAPH1,FZD3,ZEB2,SEMA6A,BMPR2,NFIB,MAP2,TAOK1,MYCBP2,CTNNB1,PRKCA,NCAM1"
