"ensembl_id","symbol","gene_name","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"ENSRNOG00000034233","Fyttd1","forty-two-three domain containing 1","360726",1270.9642298674,0.0741288396921795,0.0735740110778083,1.00754109509925,0.313674819662082,0.999733014012761,"ns"
"ENSRNOG00000059880","Rubcn","rubicon autophagy regulator","303885",1699.71976961922,0.129434400115481,0.071131131856759,1.81965894168717,0.0688109596068497,0.999733014012761,"ns"
"ENSRNOG00000001769","Tnk2","tyrosine kinase, non-receptor, 2","303882",1780.00404288094,0.066802571782385,0.0755725336448752,0.883953052259683,0.376721556695587,0.999733014012761,"ns"
"ENSRNOG00000001762","Pcyt1a","phosphate cytidylyltransferase 1A, choline","140544",2063.74442367153,0.0163084803703328,0.0634269784191527,0.257122139140215,0.797084487390711,0.999733014012761,"ns"
"ENSRNOG00000001758","Dynlt2b","dynein light chain Tctex-type 2B","498095",499.617340151302,-0.0620504512484025,0.110998649879475,-0.559019873807279,0.576148156915103,0.999733014012761,"ns"
"ENSRNOG00000046969","Ubxn7","UBX domain protein 7","303878",1052.53548264122,0.0348549563025707,0.0882027664846771,0.395168515588747,0.692718526662305,0.999733014012761,"ns"
"ENSRNOG00000043345","Rnf168","ring finger protein 168","690043",903.722135350104,0.00293419641392986,0.0883094089973156,0.0332263169603939,0.973494111805699,0.999733014012761,"ns"
"ENSRNOG00000001754","Wdr53","WD repeat domain 53","498097",186.485481169655,-0.0665522821839076,0.176801401841611,-0.376423950775736,0.706601743008229,0.999733014012761,"ns"
"ENSRNOG00000061515",NA,NA,NA,574.915899239018,-0.036509436210045,0.107346133558749,-0.340109466449148,0.733774093090016,0.999733014012761,"ns"
"ENSRNOG00000024924","Cep19","centrosomal protein 19","192229",853.831543613182,-0.0593727903796266,0.091212061150786,-0.650931353052918,0.515090801174485,0.999733014012761,"ns"
"ENSRNOG00000033623","Pigx","phosphatidylinositol glycan anchor biosynthesis, class X","288041",1305.75231182371,-0.0061841721009103,0.0794265931374055,-0.0778602210749726,0.937939242294938,0.999733014012761,"ns"
"ENSRNOG00000001747","Pak2","p21 (RAC1) activated kinase 2","29432",4734.77144434982,0.0730710442871507,0.0520068140605372,1.40502827575814,0.160012870293216,0.999733014012761,"ns"
"ENSRNOG00000024794",NA,NA,NA,634.408545870067,0.0943012682278537,0.294761179992318,0.319924313745491,0.749025706049846,0.999733014012761,"ns"
"ENSRNOG00000001746","Ncbp2","nuclear cap binding protein subunit 2","689116",2811.61044909453,-0.0395892657124972,0.0589253556268266,-0.671854506287843,0.501676324961726,0.999733014012761,"ns"
"ENSRNOG00000038610",NA,NA,NA,432.431593512156,-0.114015678613309,0.12272050479105,-0.9290678750665,0.352853911690891,0.999733014012761,"ns"
"ENSRNOG00000001739","Meltf","melanotransferrin","288038",69.4533752101767,-0.364115449019302,0.273951022967099,-1.32912607909127,0.183806377630116,0.999733014012761,"ns"
"ENSRNOG00000038597","Dlg1","discs large MAGUK scaffold protein 1","25252",850.473150622128,-0.112909517704427,0.102748794031699,-1.09888898228425,0.271816492968724,0.999733014012761,"ns"
"ENSRNOG00000001736","Bdh1","3-hydroxybutyrate dehydrogenase 1","117099",1681.39105333758,0.0290011146567209,0.0700214597256814,0.414174665457372,0.678746194266266,0.999733014012761,"ns"
"ENSRNOG00000048136",NA,NA,NA,577.090903454989,-0.571451350496082,0.448667482358438,-1.27366339876522,0.202782733193645,0.999733014012761,"ns"
"ENSRNOG00000048589",NA,NA,NA,310.588592827648,-0.140010175187189,0.138681917894559,-1.00957772514828,0.312697645994137,0.999733014012761,"ns"
"ENSRNOG00000001733","Ppp1r2","protein phosphatase 1, regulatory (inhibitor) subunit 2","192361",2127.91996225237,-0.0694170666115172,0.0651330199503477,-1.06577380665652,0.286525904232686,0.999733014012761,"ns"
"ENSRNOG00000001730","Acap2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","619382",527.747137959936,-0.059350560897045,0.110979857469272,-0.534786782488686,0.592797303873514,0.999733014012761,"ns"
"ENSRNOG00000001729","Xxylt1","xyloside xylosyltransferase 1","363799",609.094678146789,0.0100160022307714,0.101493656992632,0.098685992086171,0.921387591264807,0.999733014012761,"ns"
"ENSRNOG00000001728","Fam43a","family with sequence similarity 43, member A","288031",27.4443432717496,-0.0994651192910292,0.431132673506738,-0.230706521224666,0.817542806982229,0.999733014012761,"ns"
"ENSRNOG00000001727","Lsg1","large 60S subunit nuclear export GTPase 1","288029",1040.30662180591,0.0181552231355712,0.0807283173895118,0.22489287182802,0.822062614725741,0.999733014012761,"ns"
"ENSRNOG00000001726","Tmem44","transmembrane protein 44","288028",2112.72126419284,0.122837989934623,0.0676514860130985,1.81574710584834,0.0694091744996421,0.999733014012761,"ns"
"ENSRNOG00000001724",NA,NA,NA,148.783430134891,0.151567340834737,0.186627880555707,0.812136645304161,0.416713227903463,0.999733014012761,"ns"
"ENSRNOG00000001720","Hes1","hes family bHLH transcription factor 1","29577",120.370853850164,-0.143836005304418,0.229285682200346,-0.627322229299675,0.530448034954585,0.999733014012761,"ns"
