"ensembl_id","symbol","gene_name","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"ENSRNOG00000028668","Slc28a2","solute carrier family 28 member 2","60423",235.586616476002,-0.579469223303758,0.192814599128201,-3.00531819646329,0.00265303145056224,0.0108326375072308,"ns"
"ENSRNOG00000029805","LOC134483039","zinc finger protein 59-like","134483039",329.723600200089,-0.400105346333285,0.133196212919699,-3.00387929628674,0.00266561055250453,0.0108789547439278,"ns"
"ENSRNOG00000013217","Ttc33","tetratricopeptide repeat domain 33","294774",801.564330791275,-0.27574834133961,0.091798465337232,-3.00384478462268,0.00266591292742421,0.0108789547439278,"ns"
"ENSRNOG00000019915","Xrcc1","X-ray repair cross complementing 1","84495",1599.30231084249,-0.220266299558973,0.0733436027211021,-3.00321079667387,0.00267147321112994,0.0108985014391771,"ns"
"ENSRNOG00000024149",NA,NA,NA,532.250504647347,-0.322892246105382,0.107519673885352,-3.00309919512667,0.00267245308991905,0.0108993561015205,"ns"
"ENSRNOG00000000314","Sec63","SEC63 protein translocation regulator","309858",4300.52794980299,-0.160593578971021,0.0534838873440003,-3.00265345220902,0.00267637005826758,0.0109121854709999,"ns"
"ENSRNOG00000029938","Pik3c2b","phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta","289021",3471.77986309438,-0.212704252204469,0.0708586175030064,-3.00181205476447,0.00268377814544054,0.0109392374536712,"ns"
"ENSRNOG00000047439","Pot1b","protection of telomeres 1B","690237",192.077406565819,-0.52913279709265,0.176303157951256,-3.00126670016282,0.00268858972613912,0.0109556933886568,"ns"
"ENSRNOG00000007748","Tex15","testis expressed 15, meiosis and synapsis associated","290803",28.2231782339851,1.50416485898342,0.501256346309156,3.00078965594922,0.00269280507703833,0.010969710978963,"up"
"ENSRNOG00000037221",NA,NA,NA,633.273506164217,-0.294242057317322,0.0980779421883135,-3.00008392052482,0.0026990523107998,0.0109919954211847,"ns"
